index,Title,Year,Length,Subject,Popularity
563,Knights & Emeralds,1986,90,Drama,
564,Masque of the Red Death,1989,83,Horror,9
565,"Adventures of Smilin' Jack, The",1943,265,Mystery,77
566,Adventures in Dinosaur City,1992,88,Action,19
567,"Allnighter, The",1987,95,Comedy,71
568,Caddyshack,1980,99,Comedy,70
569,Tom Sawyer,1973,102,Music,11
570,"Rita, Sue & Bob Too",1987,94,Comedy,5
571,Hawk of Powder River,1947,56,Western,61
572,Tempest,1928,148,Drama,33
573,Running Mates,1986,90,Drama,63
574,Prettykill,1987,105,Drama,71
575,Judge Priest,1934,80,Drama,9
576,Harvey,1950,104,Comedy,42
577,If Looks Could Kill,1991,89,Action,10
578,Raising Arizona,1987,94,Comedy,23
579,Once Around,1989,114,Comedy,68
580,Loulou,1980,110,Drama,65
581,"World According to Garp, The",1982,136,Drama,59
582,Virus,1980,106,Science Fiction,62
583,Northwest Passage,1940,127,Action,51
584,Gardens of Stone,1987,112,Drama,27
585,"Enemies, a Love Story",1989,121,Drama,5
586,"Addams Family, The",1992,102,Comedy,8
587,Freaks,1932,65,Horror,61
588,Necessary Roughness,1991,108,Comedy,60
589,A Show of Force,1990,93,Drama,1
590,"Competition, The",1980,129,Drama,45
591,Crossing Delancey,1988,97,Comedy,6
592,"State of Things, The",1982,120,Drama,73
593,Business As Usual,1987,89,Comedy,17
594,A Touch of Class,1973,103,Comedy,79
595,Women in Love.,1970,129,Drama,18
596,Salome's Last Dance,1988,89,Comedy,76
597,Casino,1986,100,Mystery,5
598,Smiles of a Summer Night,1955,108,Comedy,58
599,New Year's Day,1989,90,Comedy,88
600,Mephisto,1981,132,Drama,80
601,Easy Virtue,1927,60,Mystery,45
602,Swing It Sailor!,1937,59,Comedy,6
603,Strictly Business,1991,83,Comedy,3
604,Blame It on Rio,1983,90,Comedy,10
605,Straight to Hell,1987,86,Action,47
606,A View to a Kill,1990,131,Action,44
607,American Anthem,1986,100,Drama,74
608,Bedtime Story,1963,99,Comedy,7
609,"Courtship of Eddie's Father, The",1991,117,Comedy,43
610,"Night Train to Katmandu, THe",1988,102,Action,43
611,Port of Call,1948,100,Drama,29
612,Paper Moon,1973,103,Comedy,3
613,Yellowbeard,1983,97,Comedy,34
614,Adventures of Sherlock Holmes' Smarter,1975,91,Comedy,42
615,Flashback,1990,108,Comedy,19
616,"World's Greatest Lover, The",1977,89,Comedy,42
617,Killer's Kiss,1955,67,Mystery,66
618,"Deceivers, The",1988,103,Action,14
619,Breathless,1983,97,Action,51
620,Born on the Fourth of July,1989,145,Drama,8
621,Awakenings,1991,120,Drama,8
622,Annie Hall,1977,94,Comedy,68
623,Manhattan,1979,96,Comedy,82
624,Reds,1981,195,Drama,76
625,Crimes of the Heart,1986,105,Comedy,84
626,Looking for Mr. Goodbar,1977,136,Drama,54
